; primarily weapons,dmg,armor,food,qty,type
Cellular Phone,3,1,-4,1,!
Ping Pong Ball,1,0,0,1,!
Remote Control,3,1,-4,1,!
Sledgehammer,20,5,-5,1,!
Watering Pot,3,1,-2,1,!
Funnel Cloud,5,5,0,1,!
Electric Fan,7,5,-3,1,!
Mobile Phone,3,1,-4,1,!
Rolling Pin,5,2,-3,1,!
Scaffolding,8,1,-4,1,!
Screwdriver,10,0,-3,1,!
Martial Art,9,8,0,1,!
Firecracker,6,-4,-8,1,!
Wine Bottle,6,-4,-2,1,!
Hockey Puck,5,2,-1,1,!
Coffee Mug,5,-4,-2,1,!
Microphone,5,1,-4,1,!
Typewriter,7,3,-7,1,!
Projectile,8,0,-3,1,!
Snowmobile,20,8,-20,1,!
Ammunition,2,0,0,1,!
; primarily weapons,dmg,armor,food,qty,type
Smartphone,3,1,-4,1,!
Scattergun,24,1,-4,1,!
Lawn Mower,8,5,-12,1,!
Sculpture,4,5,-5,1,!
Detergent,3,0,-3,1,!
Tableware,3,1,0,1,!
Saxophone,4,3,-2,1,!
Telephone,3,1,-3,1,!
Bulldozer,30,30,-231,1,!
Timepiece,2,1,-1,1,!
Golf Club,9,1,-3,1,!
Lightbulb,2,1,-2,1,!
Golf Ball,2,1,-5,1,!
Ice Skate,12,1,-10,1,!
Lightning,110,-280,-222,1,!
Barracuda,4,1,20,1,!
Power Saw,25,3,-30,1,!
Cellphone,3,1,-3,1,!
Chain Saw,25,10,-40,1,!
Polka Dot,1,1,1,1,!
Pitchfork,13,1,-3,1,!
Structure,8,4,-5,1,!
Piggybank,2,1,-4,1,!
Pie Chart,2,0,3,1,!
; primarily weapons,dmg,armor,food,qty,type
Stopwatch,3,1,-1,1,!
Metal Saw,24,12,-8,1,!
Paintball,1,0,0,1,!
Microwave,17,15,-7,1,!
Blowtorch,22,-10,-12,1,!
Appliance,12,12,-8,1,!
Xylophone,8,8,-3,1,!
Accordion,8,3,-1,1,!
Cogwheel,3,2,0,1,!
Payphone,4,1,-5,1,!
Clarinet,8,1,-3,1,!
Revolver,60,1,-5,1,!
Sandpile,5,5,0,1,!
Saucepan,9,8,-4,1,!
Jerrycan,5,2,-3,1,!
Snowball,1,0,2,1,!
Softball,3,2,-3,1,!
Sparkler,2,0,-9,1,!
Dumbbell,16,3,-22,1,!
Blizzard,21,0,0,1,!
Hack Saw,24,2,-8,1,!
Trombone,12,3,-8,1,!
Firework,9,0,-12,1,!
Flagpole,12,3,-7,1,!
; primarily weapons,dmg,armor,food,qty,type
Wildfire,24,0,-27,1,!
Woodwind,5,1,-5,1,!
Football,6,1,-2,1,!
Caliper,2,1,-3,1,!
Bonfire,16,0,-13,1,!
Flipper,5,1,0,1,!
Firearm,50,1,-5,1,!
Blender,13,1,-8,1,!
Antenna,6,0,0,1,!
Canteen,6,3,-3,1,!
Sandbag,12,12,-11,1,!
Monocle,1,0,-2,1,!
Plunger,4,0,-13,1,!
Spatula,4,1,-4,1,!
Tankard,5,3,-3,1,!
Crowbar,18,2,0,1,!
Backhoe,50,33,-172,1,!
Mailbox,7,3,-9,1,!
Shotgun,70,3,-11,1,!
Beehive,13,-5,-30,1,!
Handbag,5,2,-3,1,!
Luggage,7,3,-2,1,!
Handgun,46,1,-12,1,!
Baggage,7,3,-5,1,!
Cyclone,32,23,0,1,!
; primarily weapons,dmg,armor,food,qty,type
Toolbox,14,8,-10,1,!
Rattler,6,1,-2,1,!
Ratchet,10,4,-10,1,!
Skillet,17,9,-3,1,!
Hydrant,16,10,-13,1,!
Rainbow,7,4,0,1,!
Printer,15,12,-25,1,!
Tornado,10,9,0,1,!
Pry Bar,33,1,-24,1,!
Barbell,31,2,-12,1,!
Lantern,7,1,-4,1,!
Trumpet,8,3,-5,1,!
Ukulele,6,1,-1,1,!
Putter,15,1,-3,1,!
Racket,5,1,-3,1,!
Pulley,5,1,-1,1,!
Trophy,3,3,-1,1,!
Ladder,3,0,-1,1,!
Tripod,5,0,-4,1,!
Domino,1,0,0,1,!
Violin,5,4,-2,1,!
Hammer,23,7,-22,1,!
Shovel,32,11,-29,1,!
Crutch,16,2,-13,1,!
; primarily weapons,dmg,armor,food,qty,type
Rocket,36,-8,-25,1,!
Mallet,34,7,-15,1,!
Guitar,17,2,-4,1,!
Faucet,5,1,-5,1,!
Teapot,3,1,-4,1,!
Teacup,3,1,-2,1,!
Grater,3,2,-2,1,!
Mirror,11,-4,-15,1,!
Goblet,3,2,-4,1,!
Fiddle,5,2,-2,1,!
Bottle,9,-2,-1,1,!
Gadget,7,2,-3,1,!
Wrench,11,3,-4,1,!
Petrol,1,0,-11,1,!
Kettle,4,2,-4,1,!
Stool,7,2,-3,1,!
Storm,13,0,0,1,!
Straw,1,0,0,1,!
Clamp,6,3,-1,1,!
Block,11,8,-4,1,!
Spoon,2,1,-2,1,!
Blade,14,1,-7,1,!
Conch,11,3,-13,1,!
; primarily weapons,dmg,armor,food,qty,type
Sword,26,4,-14,1,!
Money,10,0,-2,1,!
Poker,16,1,-13,1,!
Chair,5,4,-3,1,!
Chain,11,1,-5,1,!
Spade,33,20,-14,1,!
Cello,6,3,-2,1,!
Magic,15,15,3,1,!
Light,2,0,0,1,!
Torch,16,-4,-18,1,!
Lathe,10,15,-87,1,!
Ladle,5,1,-3,1,!
Truck,30,24,-85,1,!
Knife,16,1,-11,1,!
Pylon,7,1,-4,1,!
Viola,5,1,-4,1,!
Drone,4,0,-5,1,!
Sieve,2,1,-3,1,!
Watch,2,1,-2,1,!
Dryer,14,13,-24,1,!
Rifle,55,3,-7,1,!
Ember,13,-9,-22,1,!
Wheel,4,13,-14,1,!
; primarily weapons,dmg,armor,food,qty,type
Shear,7,3,-3,1,!
Grave,5,7,-6,1,!
Grail,15,15,-5,1,!
Anvil,7,3,-6,1,!
Globe,3,3,-4,1,!
Winch,6,-6,-20,1,!
Flame,15,-11,-24,1,!
Flare,13,-11,-27,1,!
Flute,3,1,-3,1,!
Cable,4,1,-6,1,!
Fork,4,1,-4,1,!
Sand,2,1,-2,1,!
Sack,1,1,0,1,!
Fire,18,-13,-26,1,!
Wood,8,6,-3,1,!
Sign,6,5,-5,1,!
Wire,2,0,-10,1,!
Gear,2,7,-4,1,!
Rake,4,1,-5,1,!
Rain,0,0,2,1,!
Puck,5,1,-1,1,!
Harp,6,3,-6,1,!
Ball,2,1,-1,1,!
Pole,9,8,-8,1,!
Hook,3,-3,-7,1,!
; primarily weapons,dmg,armor,food,qty,type
Horn,3,2,-3,1,!
Club,6,4,-5,1,!
Tuba,6,5,-8,1,!
Lava,200,-200,-200,1,!
Cord,2,0,-1,1,!
Tape,0,0,0,1,!
Lego,1,0,-1,1,!
Bell,2,1,-1,1,!
Dial,0,1,-1,1,!
Ice,14,-10,1,1,!
Cube,2,1,-1,1,!
Cup,1,1,-1,1,!
